sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.51,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.51,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.51,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.51,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.5,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.5,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.5,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.5,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.5,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.5,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.49,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.49,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.49,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.49,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.49,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.49,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.48,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.48,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.48,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.48,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.48,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.48,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.47,0.0,0.0,-0.06049408872450605,76,2592
BL6-BALBc_HTxB,0.47,0.0,1.0,-0.04102000428715252,76,2592
BL6-BALBc_HTxB,0.47,0.0,2.0,-0.03462763221308731,76,2592
BL6-BALBc_HTxB,0.47,0.0,3.0,-0.03218920899545876,76,2592
BL6-BALBc_HTxB,0.47,0.0,4.0,-0.030569477912494758,76,2592
BL6-BALBc_HTxB,0.47,0.0,5.0,-0.029425932492209844,76,2592
BL6-BALBc_HTxB,0.45999999999999996,0.0,0.0,-0.06049408872450605,76,2592
