sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.75,7.0,2.0,0.08321724572448194,114,3463
D7A,0.75,7.0,3.0,0.07863841627654629,114,3463
D7A,0.75,7.0,4.0,0.07580747723832595,114,3463
D7A,0.75,7.0,5.0,0.07386761135415536,114,3463
D7A,0.745,7.0,0.0,0.110564231424291,114,3463
D7A,0.745,7.0,1.0,0.09212753904425877,114,3463
D7A,0.745,7.0,2.0,0.08321724572448194,114,3463
D7A,0.745,7.0,3.0,0.07863841627654629,114,3463
D7A,0.745,7.0,4.0,0.07580747723832595,114,3463
D7A,0.745,7.0,5.0,0.07386761135415536,114,3463
D7A,0.74,7.0,0.0,0.110564231424291,114,3463
D7A,0.74,7.0,1.0,0.09212753904425877,114,3463
D7A,0.74,7.0,2.0,0.08321724572448194,114,3463
D7A,0.74,7.0,3.0,0.07863841627654629,114,3463
D7A,0.74,7.0,4.0,0.07580747723832595,114,3463
D7A,0.74,7.0,5.0,0.07386761135415536,114,3463
D7A,0.735,7.0,0.0,0.110564231424291,114,3463
D7A,0.735,7.0,1.0,0.09212753904425877,114,3463
D7A,0.735,7.0,2.0,0.08321724572448194,114,3463
D7A,0.735,7.0,3.0,0.07863841627654629,114,3463
D7A,0.735,7.0,4.0,0.07580747723832595,114,3463
D7A,0.735,7.0,5.0,0.07386761135415536,114,3463
D7A,0.73,7.0,0.0,0.110564231424291,114,3463
D7A,0.73,7.0,1.0,0.09212753904425877,114,3463
D7A,0.73,7.0,2.0,0.08321724572448194,114,3463
D7A,0.73,7.0,3.0,0.07863841627654629,114,3463
D7A,0.73,7.0,4.0,0.07580747723832595,114,3463
D7A,0.73,7.0,5.0,0.07386761135415536,114,3463
D7A,0.725,7.0,0.0,0.110564231424291,114,3463
D7A,0.725,7.0,1.0,0.09212753904425877,114,3463
D7A,0.725,7.0,2.0,0.08321724572448194,114,3463
D7A,0.725,7.0,3.0,0.07863841627654629,114,3463
D7A,0.725,7.0,4.0,0.07580747723832595,114,3463
D7A,0.725,7.0,5.0,0.07386761135415536,114,3463
D7A,0.72,7.0,0.0,0.110564231424291,114,3463
D7A,0.72,7.0,1.0,0.09212753904425877,114,3463
D7A,0.72,7.0,2.0,0.08321724572448194,114,3463
D7A,0.72,7.0,3.0,0.07863841627654629,114,3463
D7A,0.72,7.0,4.0,0.07580747723832595,114,3463
D7A,0.72,7.0,5.0,0.07386761135415536,114,3463
D7A,0.715,7.0,0.0,0.110564231424291,114,3463
D7A,0.715,7.0,1.0,0.09212753904425877,114,3463
D7A,0.715,7.0,2.0,0.08321724572448194,114,3463
D7A,0.715,7.0,3.0,0.07863841627654629,114,3463
D7A,0.715,7.0,4.0,0.07580747723832595,114,3463
D7A,0.715,7.0,5.0,0.07386761135415536,114,3463
D7A,0.71,8.0,0.0,0.1239348067916418,111,3254
D7A,0.71,8.0,1.0,0.1014983642806982,111,3254
D7A,0.71,8.0,2.0,0.09075980475501585,111,3254
D7A,0.71,8.0,3.0,0.08532924696402241,111,3254
D7A,0.71,8.0,4.0,0.08202657003230567,111,3254
D7A,0.71,8.0,5.0,0.07979293687728187,111,3254
D7A,0.7050000000000001,8.0,0.0,0.1239348067916418,111,3254
D7A,0.7050000000000001,8.0,1.0,0.1014983642806982,111,3254
D7A,0.7050000000000001,8.0,2.0,0.09075980475501585,111,3254
D7A,0.7050000000000001,8.0,3.0,0.08532924696402241,111,3254
D7A,0.7050000000000001,8.0,4.0,0.08202657003230567,111,3254
D7A,0.7050000000000001,8.0,5.0,0.07979293687728187,111,3254
D7A,0.7,8.0,0.0,0.1239348067916418,111,3254
D7A,0.7,8.0,1.0,0.1014983642806982,111,3254
D7A,0.7,8.0,2.0,0.09075980475501585,111,3254
D7A,0.7,8.0,3.0,0.08532924696402241,111,3254
D7A,0.7,8.0,4.0,0.08202657003230567,111,3254
D7A,0.7,8.0,5.0,0.07979293687728187,111,3254
D7A,0.6950000000000001,8.0,0.0,0.1239348067916418,111,3254
D7A,0.6950000000000001,8.0,1.0,0.1014983642806982,111,3254
D7A,0.6950000000000001,8.0,2.0,0.09075980475501585,111,3254
D7A,0.6950000000000001,8.0,3.0,0.08532924696402241,111,3254
D7A,0.6950000000000001,8.0,4.0,0.08202657003230567,111,3254
D7A,0.6950000000000001,8.0,5.0,0.07979293687728187,111,3254
D7A,0.69,8.0,0.0,0.1239348067916418,111,3254
D7A,0.69,8.0,1.0,0.1014983642806982,111,3254
D7A,0.69,8.0,2.0,0.09075980475501585,111,3254
D7A,0.69,8.0,3.0,0.08532924696402241,111,3254
