sample,percentile,thresh_syfpeithi,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxC,0.775,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.775,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.775,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.775,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.775,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.77,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.77,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.77,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.77,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.77,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.77,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.765,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.765,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.765,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.765,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.765,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.765,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.76,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.76,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.76,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.76,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.76,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.76,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.755,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.755,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.755,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.755,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.755,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.755,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.75,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.75,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.75,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.75,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.75,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.75,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.745,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.745,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.745,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.745,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.745,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.745,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.74,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.74,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.74,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.74,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.74,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.74,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.735,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.735,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.735,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.735,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.735,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.735,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.73,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.73,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.73,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.73,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.73,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.73,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.725,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.725,0.0,1.0,-0.022734954055106178,97,977
BL6-BALBc_HTxC,0.725,0.0,2.0,-0.01767651299597496,97,977
BL6-BALBc_HTxC,0.725,0.0,3.0,-0.01589726400532173,97,977
BL6-BALBc_HTxC,0.725,0.0,4.0,-0.01506832410215905,97,977
BL6-BALBc_HTxC,0.725,0.0,5.0,-0.014571759623690233,97,977
BL6-BALBc_HTxC,0.72,0.0,0.0,-0.03165354865227707,97,977
BL6-BALBc_HTxC,0.72,0.0,1.0,-0.022734954055106178,97,977
