percentile,thresh_syfpeithi,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.06499999999999995,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.05999999999999994,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.05499999999999994,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.04999999999999993,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.04499999999999993,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.040000000000000036,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.03500000000000003,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.030000000000000027,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.025000000000000022,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.020000000000000018,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.015000000000000013,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.010000000000000009,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.0050000000000000044,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
0.0,0.0,1024,65.0571791613723,143,80,80,0.0005981838757058155,0.057348613547758845,-0.03768665789545783,-0.00033398867686378617
