sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxA,0.6499999999999999,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.6499999999999999,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.645,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.645,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.645,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.645,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.64,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.64,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.64,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.64,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.635,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.635,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.635,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.635,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.63,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.63,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.63,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.63,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.625,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.625,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.625,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.625,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.62,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.62,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.62,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.62,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.615,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.615,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.615,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.615,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.61,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.61,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.61,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.61,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.605,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.605,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.605,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.605,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.6,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.6,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.6,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.6,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.595,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.595,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.595,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.595,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.59,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.59,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.59,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.59,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.585,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.585,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.585,0.0,2.0,-0.005906770843865253,12,183
BL6-B10BR_HTxA,0.585,0.0,5.0,-0.006449519661886477,12,183
BL6-B10BR_HTxA,0.5800000000000001,0.0,0.0,-0.04857767797971423,12,183
BL6-B10BR_HTxA,0.5800000000000001,0.0,1.0,-0.00849048394429489,12,183
BL6-B10BR_HTxA,0.5800000000000001,0.0,2.0,-0.005906770843865253,12,183
