sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,0.725,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.725,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.725,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.725,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.72,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.72,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.72,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.72,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.715,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.715,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.715,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.715,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.71,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.71,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.71,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.71,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.7050000000000001,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.7050000000000001,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.7050000000000001,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.7050000000000001,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.7,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.7,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.7,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.7,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.6950000000000001,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.6950000000000001,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.6950000000000001,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.6950000000000001,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.69,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.69,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.69,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.69,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.685,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.685,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.685,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.685,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.6799999999999999,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.6799999999999999,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.6799999999999999,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.6799999999999999,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.675,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.675,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.675,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.675,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.6699999999999999,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.6699999999999999,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.6699999999999999,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.6699999999999999,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.665,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.665,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.665,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.665,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.6599999999999999,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.6599999999999999,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.6599999999999999,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.6599999999999999,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.655,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.655,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.655,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.655,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.6499999999999999,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.6499999999999999,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.6499999999999999,0.0,2.0,-0.0080971726666546,176,5320
